generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
11,0,23,6,5,3,7036,3999,857,5,-12,-18,-26,58,90,-42
11,1,21,6,3,5,7036,3643,857,5,-12,-18,-26,58,90,-43
11,2,21,5,6,3,7769,3643,823,4,-12,-18,-26,58,90,-43
11,3,21,4,9,1,6638,3643,857,5,-12,-19,-26,56,90,-43
11,4,18,5,3,6,7769,3980,857,5,-11,-18,-26,58,90,-43
11,5,16,3,7,4,7769,3643,857,5,-12,-19,-25,58,84,-44
11,6,15,4,3,7,7574,3643,927,5,-11,-19,-25,58,84,-44
11,7,14,4,2,8,8491,3773,849,5,-11,-20,-25,58,84,-44
12,0,28,9,1,4,6638,3643,857,5,-13,-19,-26,51,97,-43
12,1,24,7,3,4,7036,3999,857,5,-12,-17,-26,58,90,-42
12,2,23,6,5,3,7036,4254,857,5,-12,-19,-26,58,90,-38
12,3,19,6,1,7,7769,3999,823,4,-11,-18,-26,58,95,-42
12,4,18,5,3,6,7769,3643,837,4,-12,-18,-26,58,90,-43
12,5,16,4,4,6,7769,3643,857,5,-12,-20,-25,58,90,-44
12,6,15,4,3,7,7352,3643,865,4,-13,-18,-26,58,90,-43
12,7,14,4,2,8,7036,3999,857,5,-12,-18,-26,58,90,-42
13,0,26,7,5,2,7907,3643,857,5,-12,-20,-26,58,90,-44
13,1,26,8,2,4,7036,3999,885,4,-12,-15,-26,58,90,-42
13,2,26,8,2,4,5977,3999,823,5,-11,-19,-26,58,97,-42
13,3,20,6,2,6,7769,3643,767,5,-13,-18,-26,58,89,-43
13,4,19,5,4,5,7769,3999,823,4,-13,-19,-25,58,95,-40
13,5,17,4,5,5,7036,3999,857,5,-11,-19,-26,58,90,-38
13,6,14,3,5,6,6638,3643,857,5,-13,-19,-26,51,97,-43
13,7,7,2,1,11,7036,4254,914,6,-12,-19,-26,51,90,-43
14,0,26,7,5,2,5977,3999,823,5,-11,-19,-26,58,97,-42
14,1,25,8,1,5,7907,3338,857,4,-12,-15,-26,58,90,-44
14,2,25,7,4,3,5977,3999,875,5,-11,-15,-26,58,90,-46
14,3,24,7,3,4,7036,3999,857,5,-12,-19,-26,58,96,-42
14,4,21,6,3,5,7907,3643,857,5,-12,-20,-26,58,90,-44
14,5,15,4,3,7,7907,3999,857,5,-12,-20,-29,58,90,-44
14,6,11,2,5,7,7036,3999,767,5,-13,-15,-24,54,89,-46
14,7,8,2,2,10,5977,3999,823,5,-11,-20,-26,61,97,-42
15,0,22,7,1,6,7907,3999,864,5,-12,-20,-26,57,90,-44
15,1,22,6,4,4,7036,3999,857,6,-12,-14,-26,58,96,-44
15,2,22,6,4,4,6435,4315,823,6,-12,-20,-26,58,97,-42
15,3,20,5,5,4,7907,3999,817,5,-11,-20,-29,56,91,-44
15,4,20,5,5,4,5977,3999,861,4,-11,-15,-26,58,85,-46
15,5,19,4,7,3,5977,3999,875,5,-11,-19,-26,58,90,-46
15,6,17,5,2,7,5977,3999,823,5,-11,-19,-26,58,97,-42
15,7,10,2,4,8,7907,3999,857,4,-12,-19,-26,58,88,-44
