generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
1,0,11,2,5,1,9674,6251,595,10,-17,-6,-9,78,77,-122
1,1,11,3,2,3,7582,3931,815,16,-3,-27,-27,56,28,-119
1,2,11,2,5,1,8082,6025,470,6,-15,-15,-32,176,44,-130
1,3,11,2,5,1,5013,4683,361,4,-22,-14,-6,158,68,-108
1,4,5,0,5,3,9597,5553,286,13,-5,-9,-21,191,35,-178
2,0,16,4,4,0,8082,6251,595,10,-15,-6,-32,76,77,-119
2,1,10,2,4,2,10000,6025,470,6,-15,-6,-9,78,77,-122
2,2,9,2,3,3,9674,6251,595,10,-17,-6,-9,78,77,-122
2,3,9,2,3,3,7396,3732,470,15,-3,-15,-27,56,44,-134
2,4,7,1,4,3,5013,3931,356,16,-2,-27,-27,158,68,-108
3,0,13,3,4,1,7396,3732,498,15,-3,-16,-25,55,40,-134
3,1,10,1,7,0,8082,6251,595,10,-15,-6,-32,76,77,-112
3,2,8,1,5,2,8082,6251,595,10,-15,-6,-32,76,77,-119
3,3,8,1,5,2,7396,6027,595,14,-3,-5,-28,61,77,-119
3,4,7,0,7,1,9257,6251,618,10,-17,-6,-32,78,77,-119
4,0,13,3,4,1,7396,5778,498,15,-3,-15,-25,50,77,-122
4,1,11,2,5,1,8082,6027,595,13,-2,-5,-28,74,77,-119
4,2,10,2,4,2,7396,3732,498,15,-3,-16,-25,55,40,-134
4,3,8,1,5,2,7396,3732,595,14,-3,-5,-25,55,81,-134
4,4,6,0,6,2,7396,3959,498,10,-3,-6,-25,76,81,-127
5,0,14,3,5,0,7396,5778,498,15,-3,-15,-25,50,77,-122
5,1,12,3,3,2,8082,3732,595,14,-2,-5,-28,74,81,-135
5,2,9,1,6,1,8478,6027,595,13,-2,-5,-30,74,77,-119
5,3,8,1,5,2,6900,5778,595,15,-2,-5,-30,50,77,-130
5,4,6,1,3,4,7279,3732,498,15,-3,-16,-25,50,40,-134
6,0,12,3,3,2,6890,5778,498,16,-4,-15,-25,50,76,-122
6,1,11,2,5,1,8453,6027,595,14,-2,-6,-28,74,81,-119
6,2,10,2,4,2,7396,5778,498,15,-3,-15,-25,50,77,-122
6,3,10,2,4,2,7396,5778,498,16,-3,-15,-25,50,77,-122
6,4,7,1,4,3,7396,5778,498,15,-3,-15,-25,50,77,-122
7,0,18,5,3,0,6890,5778,498,16,-3,-15,-25,50,81,-122
7,1,12,3,3,2,6890,5778,498,16,-4,-15,-25,50,76,-122
7,2,8,1,5,2,7396,5778,498,16,-3,-15,-25,50,77,-122
7,3,7,0,7,1,7396,6027,498,14,-2,-6,-25,50,77,-122
7,4,4,0,4,4,6890,5877,498,15,-3,-15,-25,52,76,-122
8,0,15,4,3,1,6890,5778,498,16,-3,-15,-25,50,81,-122
8,1,12,3,3,2,7251,5620,507,14,-5,-15,-25,50,79,-122
8,2,11,3,2,3,6890,5778,498,15,-3,-15,-23,50,81,-122
8,3,8,1,5,2,7396,5946,498,16,-2,-16,-25,47,78,-123
8,4,5,0,5,3,6890,5778,543,16,-3,-15,-25,47,81,-122
