generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
1,0,16,5,1,2,5620,5273,926,1,-23,-21,-33,58,37,-91
1,1,14,4,2,2,8001,5755,504,5,-6,-5,-29,148,58,-25
1,2,12,3,3,2,6875,4860,115,15,-1,-7,-32,119,91,-84
1,3,10,3,1,4,9590,5938,851,2,-17,-7,-7,163,37,-20
1,4,4,1,1,6,9364,4819,760,18,-10,-13,-32,78,75,-19
2,0,13,3,4,1,5620,5273,926,1,-23,-21,-33,58,37,-87
2,1,11,3,2,3,6875,4860,107,15,-6,-5,-29,119,58,-84
2,2,11,3,2,3,7625,5755,501,5,-16,-5,-29,148,37,-25
2,3,11,3,2,3,5620,5273,926,1,-23,-21,-33,55,37,-91
2,4,8,2,2,4,5620,5273,926,1,-23,-21,-33,58,37,-91
3,0,13,4,1,3,5620,5273,926,5,-15,-5,-29,148,37,-85
3,1,12,4,0,4,5620,5273,926,1,-23,-21,-33,58,37,-87
3,2,12,4,0,4,5620,5273,926,1,-23,-21,-33,56,37,-87
3,3,11,3,2,3,5185,5273,926,1,-23,-21,-34,58,37,-87
3,4,10,3,1,4,6875,5357,107,15,-6,-5,-33,58,37,-87
4,0,15,5,0,3,5620,5273,968,5,-15,-5,-29,148,37,-85
4,1,13,4,1,3,5620,5273,926,5,-15,-5,-29,148,37,-85
4,2,12,3,3,2,5620,5273,926,5,-15,-21,-33,58,37,-86
4,3,11,3,2,3,5102,5273,926,1,-23,-20,-34,58,37,-87
4,4,5,1,2,5,5620,5273,926,2,-23,-21,-29,148,37,-87
5,0,17,5,2,1,5620,5273,894,5,-15,-21,-33,145,37,-86
5,1,12,4,0,4,5620,5273,953,5,-15,-5,-29,148,37,-81
5,2,10,3,1,4,5620,5273,968,5,-15,-5,-29,148,37,-85
5,3,10,3,1,4,5960,5273,905,5,-15,-4,-28,148,37,-85
5,4,9,3,0,5,5620,5273,926,5,-15,-5,-33,155,37,-86
6,0,15,5,0,3,5620,5273,894,5,-15,-21,-29,148,37,-81
6,1,12,4,0,4,5620,5273,894,5,-15,-21,-33,145,37,-86
6,2,12,4,0,4,5620,5273,894,6,-15,-21,-32,145,37,-85
6,3,12,4,0,4,5620,4780,968,5,-15,-5,-33,145,40,-86
6,4,9,3,0,5,5620,5273,966,5,-15,-21,-33,142,38,-82
7,0,16,5,1,2,5620,5673,809,6,-15,-21,-33,145,37,-81
7,1,13,4,1,3,5620,5273,894,6,-16,-22,-32,157,36,-81
7,2,12,4,0,4,5620,5273,894,5,-14,-21,-29,148,37,-81
7,3,10,3,1,4,5620,5273,894,5,-15,-21,-29,148,37,-81
7,4,7,2,1,5,5620,5273,894,5,-15,-21,-29,148,37,-89
8,0,15,5,0,3,5620,5673,809,6,-15,-21,-33,131,37,-81
8,1,12,4,0,4,5620,5673,809,6,-15,-21,-33,145,37,-81
8,2,12,4,0,4,5620,5673,809,7,-15,-22,-34,145,36,-81
8,3,12,4,0,4,5620,5273,866,5,-16,-21,-32,145,37,-81
8,4,9,3,0,5,5620,5503,809,6,-15,-21,-31,145,37,-81
