generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
1,0,24,5,9,0,9825,4659,412,4,-24,-24,-50,166,100,-61
1,1,23,5,8,1,9073,6258,372,1,-25,-18,-42,114,84,-32
1,2,20,4,8,2,5442,3243,176,6,-28,-14,-27,156,67,-125
1,3,19,5,4,5,8565,4380,330,7,-22,-11,-23,147,28,-100
1,4,19,4,7,3,9178,5004,445,2,-29,-19,-18,169,87,-22
1,5,16,3,7,4,6471,6171,292,6,-3,-27,-30,132,60,-42
1,6,12,3,3,8,5764,6817,568,18,-12,-16,-13,174,60,-114
1,7,10,2,4,8,8316,3653,697,18,-9,-26,-21,148,54,-183
2,0,28,7,7,0,8708,4854,393,6,-22,-10,-21,148,95,-55
2,1,21,4,9,1,9644,6077,434,3,-24,-19,-41,106,81,-33
2,2,15,2,9,3,5366,4237,168,3,-22,-15,-55,157,73,-126
2,3,14,1,11,2,5386,4458,187,7,-23,-15,-49,171,68,-121
2,4,14,1,11,2,9700,4930,441,3,-26,-26,-47,179,92,-66
2,5,13,1,10,3,9825,4659,412,4,-24,-24,-50,166,100,-61
2,6,13,1,10,3,5649,4802,382,7,-25,-13,-49,155,94,-133
2,7,12,1,9,4,7021,4950,306,3,-4,-28,-46,174,65,-59
3,0,20,3,11,0,5053,4444,197,4,-21,-14,-51,162,75,-130
3,1,19,3,10,1,8334,4476,411,5,-21,-11,-48,153,103,-60
3,2,17,2,11,1,10000,4514,427,7,-23,-11,-51,153,109,-59
3,3,17,2,11,1,9403,4816,444,4,-27,-27,-46,164,90,-67
3,4,16,2,10,2,7893,5175,417,2,-27,-9,-20,196,87,-67
3,5,16,2,10,2,8895,4637,387,7,-20,-14,-53,153,72,-138
3,6,14,1,11,2,8708,4854,393,6,-22,-10,-21,148,95,-55
3,7,8,0,8,6,7864,4466,381,7,-23,-11,-19,158,94,-57
4,0,18,2,12,0,7818,4906,371,4,-22,-12,-50,142,104,-68
4,1,18,2,12,0,8020,4176,462,6,-25,-10,-49,151,116,-60
4,2,16,1,13,0,9214,4435,200,5,-25,-28,-48,153,86,-64
4,3,15,1,12,1,5102,4263,204,5,-26,-10,-52,191,93,-134
4,4,14,1,11,2,7712,4787,405,6,-20,-10,-47,163,105,-63
4,5,14,1,11,2,8665,4581,376,6,-22,-26,-58,161,98,-133
4,6,14,0,14,0,7542,5105,442,6,-29,-30,-48,178,87,-58
4,7,11,0,11,3,5053,4444,197,4,-21,-14,-51,162,75,-130
5,0,19,3,10,1,7538,4193,480,7,-23,-9,-48,141,119,-58
5,1,16,1,13,0,8400,4583,364,3,-20,-13,-54,143,113,-69
5,2,15,1,12,1,7535,4045,467,5,-26,-11,-50,156,109,-62
5,3,15,1,12,1,7704,4790,436,5,-20,-9,-48,141,121,-58
