generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
5,4,15,1,12,1,7374,4631,450,5,-23,-13,-53,143,113,-64
5,5,14,0,14,0,8523,4507,195,6,-25,-9,-44,173,97,-70
5,6,13,0,13,1,7818,4906,371,4,-22,-12,-50,142,104,-68
5,7,12,0,12,2,8363,5340,338,6,-24,-29,-51,134,79,-65
6,0,20,3,11,0,7538,4193,480,7,-23,-9,-48,141,119,-58
6,1,16,1,13,0,7075,4563,340,4,-23,-13,-48,159,101,-70
6,2,15,1,12,1,7602,4325,470,2,-19,-14,-49,163,106,-73
6,3,15,2,9,3,7952,5038,456,4,-24,-8,-51,144,120,-57
6,4,14,0,14,0,6782,4552,406,4,-24,-14,-57,135,118,-61
6,5,14,0,14,0,7372,4540,466,6,-19,-14,-56,154,105,-69
6,6,13,1,10,3,9037,4015,338,6,-21,-14,-50,127,120,-57
6,7,13,0,13,1,9187,4599,384,2,-21,-14,-44,130,118,-68
7,0,18,2,12,0,7538,4193,480,7,-23,-9,-48,141,119,-58
7,1,16,1,13,0,7330,4280,319,3,-24,-12,-50,164,104,-69
7,2,16,1,13,0,7452,4905,462,8,-18,-13,-58,150,112,-72
7,3,15,1,12,1,8262,4852,373,5,-22,-10,-44,154,100,-63
7,4,14,0,14,0,7352,4875,481,5,-20,-14,-44,167,96,-67
7,5,13,0,13,1,8073,3803,358,3,-22,-10,-52,149,107,-65
7,6,13,0,13,1,6978,4898,411,3,-22,-7,-56,142,118,-60
7,7,12,0,12,2,7506,4708,330,6,-24,-12,-45,163,95,-77
8,0,20,3,11,0,7538,4193,480,7,-23,-9,-48,141,119,-58
8,1,15,1,12,1,7062,5040,464,6,-19,-9,-43,149,99,-68
8,2,15,1,12,1,7986,3793,433,7,-22,-14,-59,142,118,-73
8,3,15,1,12,1,8204,4429,471,8,-25,-10,-45,136,118,-60
8,4,15,1,12,1,8171,4274,451,8,-24,-14,-50,154,114,-66
8,5,14,0,14,0,8055,4549,497,2,-25,-11,-53,171,109,-59
8,6,14,0,14,0,7506,4115,512,6,-22,-10,-49,145,123,-53
8,7,11,0,11,3,7285,3975,508,6,-24,-8,-52,143,118,-61
9,0,18,2,12,0,8298,4728,445,9,-24,-9,-41,130,117,-65
9,1,17,2,11,1,7045,4084,492,7,-23,-11,-49,134,95,-63
9,2,17,2,11,1,7143,4723,501,8,-24,-9,-42,148,117,-61
9,3,16,1,13,0,7702,4022,463,8,-22,-10,-44,154,110,-53
9,4,16,1,13,0,7644,5505,456,7,-21,-8,-44,129,93,-64
9,5,16,2,10,2,8133,4692,486,7,-27,-9,-48,146,109,-66
9,6,14,1,11,2,7065,4039,476,8,-22,-15,-49,148,104,-64
9,7,9,0,9,5,7538,4193,480,7,-23,-9,-48,141,119,-58
10,0,18,3,9,2,8298,4728,445,9,-24,-9,-41,130,117,-65
10,1,17,2,11,1,7323,5242,477,6,-25,-10,-42,121,123,-63
10,2,16,2,10,2,7332,4442,403,7,-22,-8,-40,141,123,-66
10,3,16,1,13,0,7463,4102,456,6,-24,-12,-53,142,100,-64
10,4,14,1,11,2,8731,4474,441,8,-23,-8,-40,135,106,-62
10,5,14,0,14,0,7511,4627,442,6,-25,-10,-46,142,100,-61
10,6,13,0,13,1,6762,4383,509,7,-25,-8,-47,133,96,-68
10,7,13,0,13,1,7458,5027,466,6,-19,-7,-45,136,94,-62
11,0,20,3,11,0,7550,3869,497,5,-22,-11,-49,130,103,-63
11,1,17,2,11,1,7964,3998,507,7,-23,-11,-40,132,101,-65
11,2,17,2,11,1,7806,4276,430,8,-23,-8,-42,140,110,-66
11,3,16,2,10,2,8298,4728,445,9,-24,-9,-41,130,117,-65
11,4,16,2,10,2,8655,4506,383,8,-25,-10,-43,145,119,-66
11,5,15,1,12,1,7804,5145,491,5,-23,-13,-56,145,96,-67
11,6,12,0,12,2,8041,4721,507,10,-26,-10,-37,124,118,-65
11,7,12,1,9,4,7625,4917,412,8,-22,-10,-44,142,116,-60
12,0,20,3,11,0,7808,4482,366,8,-24,-9,-46,151,131,-69
12,1,16,2,10,2,7550,3869,497,5,-22,-11,-49,130,103,-63
12,2,16,1,13,0,7916,3753,489,6,-21,-10,-45,132,105,-68
12,3,15,1,12,1,8807,4963,464,8,-25,-10,-44,141,119,-66
12,4,14,0,14,0,7229,3877,536,4,-23,-10,-51,142,113,-59
12,5,14,1,11,2,7149,4503,422,9,-21,-7,-47,137,121,-65
12,6,13,0,13,1,8373,4316,448,9,-23,-8,-40,120,116,-59
12,7,12,0,12,2,7794,3844,521,6,-24,-12,-43,120,105,-67
13,0,17,2,11,1,8288,4892,358,9,-22,-8,-50,159,120,-66
13,1,16,1,13,0,7808,4482,366,8,-24,-9,-46,151,131,-69
13,2,16,1,13,0,8392,3474,350,7,-22,-10,-42,137,129,-71
13,3,15,1,12,1,8458,3790,544,5,-24,-10,-46,128,95,-69
13,4,14,0,14,0,7653,4450,468,6,-23,-8,-44,142,111,-67
13,5,14,1,11,2,7537,4027,528,7,-23,-11,-41,123,106,-74
13,6,14,0,14,0,7646,3627,510,7,-22,-9,-46,129,117,-65
13,7,13,1,10,3,7493,4663,340,9,-21,-10,-45,140,98,-60
14,0,21,4,9,1,8374,4881,337,10,-21,-7,-48,134,117,-77
14,1,17,2,11,1,8675,4468,366,8,-24,-7,-53,155,114,-71
14,2,16,1,13,0,8317,4850,457,8,-23,-7,-54,140,126,-69
14,3,15,1,12,1,8748,3424,367,8,-20,-11,-43,149,118,-69
14,4,14,2,8,4,8288,4892,358,9,-22,-8,-50,159,120,-66
14,5,14,1,11,2,8986,3480,508,8,-22,-10,-42,141,131,-68
14,6,14,1,11,2,8723,4760,330,10,-21,-9,-48,167,118,-66
14,7,13,0,13,1,9026,3583,315,6,-21,-11,-43,149,127,-76
15,0,21,5,6,3,8374,4881,337,10,-21,-7,-48,134,117,-77
15,1,18,3,9,2,7930,4709,360,9,-25,-8,-52,150,109,-73
15,2,17,2,11,1,9316,4242,397,7,-22,-6,-52,149,124,-69
15,3,17,2,11,1,8711,4928,353,11,-20,-6,-57,139,117,-66
15,4,14,1,11,2,8900,4679,376,9,-21,-8,-45,139,119,-76
15,5,14,1,11,2,8157,3531,365,7,-19,-8,-42,144,130,-68
15,6,13,0,13,1,9132,4440,359,9,-20,-8,-46,151,108,-73
15,7,12,0,12,2,8480,5222,388,7,-24,-8,-47,146,132,-71
16,0,19,3,10,1,7644,4805,365,8,-22,-8,-46,152,117,-80
16,1,18,3,9,2,8475,5092,345,8,-19,-7,-54,132,118,-61
16,2,17,2,11,1,8374,4881,337,10,-21,-7,-48,134,117,-77
16,3,17,2,11,1,9143,3880,324,8,-20,-7,-49,137,128,-82
16,4,16,1,13,0,8447,4748,365,6,-21,-5,-51,136,114,-63
16,5,13,1,10,3,7788,4569,311,11,-21,-6,-51,141,113,-76
16,6,13,1,10,3,7619,4540,308,9,-24,-6,-50,135,120,-75
16,7,12,0,12,2,9420,3871,354,12,-24,-5,-48,133,135,-70
