generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
7,3,9,3,0,5,7476,3398,1109,15,-23,-25,-29,122,101,-95
7,4,9,3,0,5,8281,3398,968,15,-21,-26,-26,122,101,-95
8,0,21,7,0,1,8281,3398,968,15,-21,-26,-31,122,101,-95
8,1,12,4,0,4,8228,3398,1016,15,-25,-25,-29,118,101,-95
8,2,11,3,2,3,8281,3126,968,15,-23,-26,-30,122,101,-95
8,3,7,2,1,5,8281,3398,968,15,-23,-25,-29,122,101,-95
8,4,7,2,1,5,8281,3398,968,14,-22,-26,-31,122,101,-95
9,0,15,5,0,3,8228,3095,1016,16,-25,-25,-31,118,110,-95
9,1,13,4,1,3,8281,3104,968,15,-20,-26,-31,116,101,-95
9,2,12,4,0,4,8906,3398,968,15,-21,-25,-30,121,104,-95
9,3,11,3,2,3,8281,3398,968,15,-21,-26,-31,122,101,-95
9,4,7,2,1,5,8281,3398,968,15,-23,-26,-30,122,92,-95
10,0,14,4,2,2,8228,3095,1016,16,-25,-25,-31,118,110,-95
10,1,13,4,1,3,7861,3095,1016,15,-25,-25,-31,118,110,-95
10,2,13,4,1,3,8299,3095,1016,16,-20,-26,-31,118,110,-95
10,3,10,3,1,4,8906,3398,949,15,-23,-25,-30,121,104,-95
10,4,7,2,1,5,8906,3607,968,14,-20,-26,-31,127,103,-95
11,0,13,4,1,3,8228,3095,1039,17,-25,-27,-32,118,110,-95
11,1,12,4,0,4,8228,3095,1016,16,-25,-25,-31,118,110,-95
11,2,12,4,0,4,7498,3095,1016,16,-26,-25,-31,111,110,-95
11,3,12,4,0,4,8746,3146,1016,16,-25,-26,-31,118,110,-95
11,4,10,3,1,4,7152,3095,1016,16,-25,-26,-31,118,110,-95
12,0,18,6,0,2,8555,3199,1016,16,-25,-26,-30,115,109,-95
12,1,16,5,1,2,8746,3095,1016,16,-26,-26,-33,111,110,-95
12,2,12,4,0,4,8228,3095,1039,16,-26,-27,-31,107,111,-94
12,3,10,3,1,4,8228,3095,1039,17,-25,-27,-32,118,110,-95
12,4,3,1,0,7,8228,3309,1039,17,-25,-27,-33,118,110,-95
13,0,15,5,0,3,8555,3199,1016,16,-25,-26,-30,115,109,-95
13,1,15,5,0,3,8228,3095,1006,16,-26,-28,-33,115,109,-86
13,2,12,4,0,4,8228,3095,1016,16,-26,-28,-31,111,111,-94
13,3,9,3,0,5,8555,3097,1016,16,-25,-26,-30,115,109,-86
13,4,9,3,0,5,8555,3199,1016,16,-25,-24,-33,111,109,-95
14,0,13,4,1,3,8228,3095,1006,16,-26,-28,-33,115,119,-86
14,1,12,4,0,4,8228,2981,1016,16,-26,-28,-31,115,109,-86
14,2,12,4,0,4,7829,3095,1016,16,-28,-28,-31,115,109,-95
14,3,12,4,0,4,7783,3095,1006,17,-28,-28,-33,115,109,-85
14,4,10,3,1,4,8555,3199,1016,16,-25,-26,-30,115,109,-95
15,0,16,5,1,2,7829,3095,1006,16,-26,-29,-35,115,106,-100
15,1,12,4,0,4,8228,3095,1006,16,-26,-28,-33,115,119,-86
15,2,12,4,0,4,8228,2883,1020,16,-24,-29,-33,115,108,-86
15,3,12,4,0,4,8228,3095,1006,16,-26,-29,-33,115,119,-87
15,4,7,2,1,5,8228,2981,917,16,-24,-28,-31,117,115,-83
