generation,rank,fitness,wins,draws,losses,twoOpenLinesScore,oneOpenLineWhiteTurnScore,oneOpenLineScore,escapeKingWeight,pressureWeight,distanceCornerWeight,cornerBlockadeWeight,materialWhiteWeight,materialBlackWeight,repetitionPenalty
1,0,19,6,1,1,7577,3144,864,8,-26,-26,-25,122,96,-20
1,1,15,5,0,3,8835,4952,444,16,-28,-3,-27,170,67,-96
1,2,11,3,2,3,5175,4998,343,17,-6,-12,-48,75,41,-91
1,3,7,2,1,5,8265,4446,404,14,-53,-27,-65,84,33,-60
1,4,6,2,0,6,7393,3422,993,20,-13,-25,-52,119,37,-141
2,0,18,6,0,2,8835,3398,460,16,-24,-26,-27,122,96,-96
2,1,13,4,1,3,7577,4998,353,17,-6,-12,-25,75,101,-20
2,2,10,3,1,4,7577,3144,864,8,-26,-26,-25,122,96,-20
2,3,10,3,1,4,9391,3422,993,16,-14,-2,-29,170,60,-96
2,4,7,2,1,5,7577,4998,361,8,-26,-26,-48,122,41,-91
3,0,18,6,0,2,8281,3398,481,16,-23,-26,-27,122,96,-95
3,1,15,5,0,3,8835,3398,460,16,-24,-26,-27,122,96,-96
3,2,10,3,1,4,7577,4998,1065,15,-5,-2,-29,70,101,-96
3,3,9,3,0,5,8835,3398,460,16,-24,-26,-27,122,96,-96
3,4,7,2,1,5,8835,3398,460,16,-24,-26,-27,122,96,-96
4,0,15,5,0,3,8281,3398,1065,15,-23,-26,-29,122,101,-95
4,1,13,4,1,3,8281,3398,481,16,-23,-26,-27,122,96,-95
4,2,13,4,1,3,8281,4998,481,16,-5,-2,-29,70,101,-95
4,3,12,4,0,4,8281,3398,481,16,-23,-26,-27,122,94,-95
4,4,5,1,2,5,9408,3398,481,16,-24,-26,-27,122,93,-95
5,0,15,5,0,3,8281,3398,1065,16,-23,-26,-28,122,100,-95
5,1,15,5,0,3,8281,3398,968,15,-23,-26,-29,122,101,-95
5,2,12,4,0,4,8281,3398,1056,16,-21,-26,-28,113,94,-95
5,3,9,3,0,5,8281,3398,1065,15,-23,-26,-29,122,101,-95
5,4,9,3,0,5,8281,3398,1065,15,-23,-26,-29,122,101,-95
6,0,17,5,2,1,8281,3398,968,15,-23,-25,-29,122,101,-95
6,1,12,4,0,4,8281,3398,1065,16,-23,-26,-28,122,100,-95
6,2,12,4,0,4,8281,3398,968,15,-23,-26,-29,122,101,-95
6,3,11,3,2,3,8281,3398,968,14,-23,-27,-29,122,101,-100
6,4,6,2,0,6,8281,3361,1065,15,-22,-26,-28,122,108,-95
7,0,15,5,0,3,8281,3398,968,15,-23,-25,-29,122,101,-95
7,1,15,5,0,3,8228,3398,1016,15,-23,-26,-29,122,101,-95
7,2,12,4,0,4,8281,3398,968,15,-23,-26,-31,122,101,-95
